"gene","GSM1587845_Normal_tonsil_B_cells_1.CEL.gz","GSM1587846_Normal_tonsil_B_cells_3.CEL.gz","GSM1587847_Normal_tonsil_B_cells_4.CEL.gz","GSM1587848_Normal_tonsil_B_cells_5.CEL.gz","GSM1587849_Normal_tonsil_B_cells_6.CEL.gz","GSM1587850_Normal_tonsil_T_cells_1.CEL.gz","GSM1587851_Normal_tonsil_T_cells_3.CEL.gz","GSM1587852_Normal_tonsil_T_cells_4.CEL.gz","GSM1587853_Normal_tonsil_T_cells_5.CEL.gz","GSM1587854_Normal_tonsil_T_cells_6.CEL.gz"
"SLC7A13",4.82438815114306,15.0794227180744,6.78313901036945,45.4289238197616,15.8142718600482,18.0571398552027,24.4499022708785,38.2797161577066,16.2764950880992,14.4594177053931
"TDH",46.8974919026786,53.0863716845511,56.7420281169704,50.6982689659138,64.9023206396172,117.203617513722,53.1585460657446,114.587523236397,48.0853040029259,43.9976991673169
"TMEM74",47.6824855577056,39.8492380284323,69.8262064208252,31.5958257962351,28.2673816904621,5.57357608471823,26.1446232248709,12.8954500055499,3.9433021636818,17.5615199343203
"FAM91A1",1495.50592565924,1660.57936645588,1499.51942305368,1102.91278215897,1019.83982948646,630.67738981992,605.858186764187,455.348506649301,668.430372358579,589.356617015057
"C8orf48",2.56091339338672,1.93392256020191,1.74872217618103,5.56478302226579,30.4108094448018,3.22033994564315,26.4289992925233,25.5957180655131,3.32576492216659,18.4182748702032
"MCMDC2",1.57625649910527,1.34155060723091,26.0738194375816,5.53340190361115,36.8683633771425,3.08308896834035,28.7342511147005,9.25581709405369,3.76185941470845,7.24326897986297
"CLVS1",29.7601679091973,11.9957840492935,8.34553770041439,49.0559079443457,5.2393426123171,15.8634324320641,12.5652471830677,3.85727317800158,15.7559844922762,9.91693944033633
"KCNU1",21.5494329260341,3.7138151798006,6.29002442347097,9.80151643635608,13.7577183618876,1.26302201465798,27.0469139009866,7.23025720406191,20.8728640389442,8.67820349355116
"SBSPON",37.3696415275888,16.8915624206522,27.4036405974347,12.7877994189428,36.5862276709756,25.8544784531082,26.288901618929,33.431498105661,13.9625227552551,39.910231673792
"CYP4A11",164.870085526256,145.752961236002,4.72386791223557,210.63760936522,40.8784436560129,170.797444015755,47.8950565583435,183.342160372955,155.230859771416,102.682766487312
"CAMSAP1",104.421043891967,98.5570701112832,95.7258143962905,117.294007130007,117.324961605412,130.083537456598,180.703347990281,181.845318177746,180.780816854883,159.537012223608
"C9orf62",26.9764632410876,49.5741186891571,21.2141903604535,7.75019522911996,10.916817418893,46.4691444663855,44.2823370899398,17.6130397981392,11.2028650777542,3.48524267875087
"C9orf66",175.066597561571,122.616754822985,79.7031423839607,128.586462115094,109.634998025944,10.4027429425492,21.7522997165594,5.1237315408091,24.3677173782738,9.89764371523447
"ADSL",4205.99867933983,4278.59962890241,5272.12202997601,6342.03110662476,4628.15814396312,5868.99489072605,6438.47845185249,8957.23031708455,8821.29509149951,5852.05329804389
"CYP4B1",9.88884764150168,6.39662276513592,5.00482616997759,3.56607948377518,27.094422657723,33.1787743452374,35.7711369718411,5.48523946484868,19.0624345608001,5.27825308684885
"LINC00032",46.9703716577753,44.7612015192605,33.7136623195214,95.0217902565416,13.8506066288573,46.3586867878709,52.8525100332893,55.5789547097047,83.9263785358271,32.533663634135
"LINGO2",49.1208674081909,68.553266318329,37.2354790474024,53.3366712562662,42.4427000171235,67.1458149693562,27.7792743199913,38.5560514710187,32.8149945503458,4.77415441015169
"NXNL2",61.1068007976589,33.7830361779158,44.0252413432917,25.0635392866345,64.8635987325792,2.10546015249887,49.2653186564759,108.043138126632,18.9368033644349,58.2018151401545
